data,região,à vista,30 dias
25/05/2022,MT Cuiabá*,268.0,270.0
25/05/2022,MT Sudeste,261.0,263.0
25/05/2022,PR Noroeste,269.0,271.0
25/05/2022,SC,279.0,280.5
25/05/2022,MA Oeste,258.0,260.0
25/05/2022,Alagoas,283.5,285.5
25/05/2022,PA Marabá,262.0,264.0
25/05/2022,PA Redenção,261.0,263.0
25/05/2022,PA Paragominas,279.0,280.5
25/05/2022,RO Sudeste,247.0,249.0
25/05/2022,TO Sul,256.0,258.0
25/05/2022,TO Norte,260.0,262.0
25/05/2022,Acre,249.0,251.0
25/05/2022,ES,266.0,268.0
25/05/2022,RJ,270.0,272.0
26/05/2022,SP Barretos,266.0,268.0
26/05/2022,SP Araçatuba,266.0,268.0
26/05/2022,MG Triângulo,246.5,248.0
26/05/2022,MG B.Horizonte,254.0,256.0
26/05/2022,MG Norte,258.0,260.0
26/05/2022,MG Sul,261.0,263.0
26/05/2022,GO Goiânia,256.0,258.0
26/05/2022,GO Reg. Sul,256.0,258.0
26/05/2022,MS Dourados,264.0,266.0
26/05/2022,MS C. Grande,262.0,264.0
26/05/2022,MS Três Lagoas,264.0,266.0
26/05/2022,RS Oeste**,10.25,10.35
26/05/2022,RS Pelotas**,10.15,10.25
26/05/2022,BA Sul,268.0,270.0
26/05/2022,BA Oeste,266.0,268.0
26/05/2022,MT Norte,258.0,260.0
26/05/2022,MT Sudoeste,257.0,259.0
26/05/2022,MT Cuiabá*,266.0,268.0
26/05/2022,MT Sudeste,259.0,261.0
26/05/2022,PR Noroeste,266.0,268.0
26/05/2022,SC,279.0,280.5
26/05/2022,MA Oeste,256.0,258.0
26/05/2022,Alagoas,283.5,285.5
26/05/2022,PA Marabá,260.0,262.0
26/05/2022,PA Redenção,258.0,260.0
26/05/2022,PA Paragominas,279.0,280.5
26/05/2022,RO Sudeste,247.0,249.0
26/05/2022,TO Sul,254.0,256.0
26/05/2022,TO Norte,259.0,261.0
26/05/2022,Acre,244.5,246.5
26/05/2022,ES,264.0,266.0
26/05/2022,RJ,268.0,270.0
27/05/2022,SP Barretos,266.0,268.0
27/05/2022,SP Araçatuba,266.0,268.0
27/05/2022,MG Triângulo,245.5,247.0
27/05/2022,MG B.Horizonte,249.0,251.0
27/05/2022,MG Norte,256.0,258.0
27/05/2022,MG Sul,261.0,263.0
27/05/2022,GO Goiânia,251.0,253.0
27/05/2022,GO Reg. Sul,256.0,258.0
27/05/2022,MS Dourados,259.0,261.0
27/05/2022,MS C. Grande,257.0,259.0
27/05/2022,MS Três Lagoas,261.0,263.0
27/05/2022,RS Oeste**,10.25,10.35
27/05/2022,RS Pelotas**,10.15,10.25
27/05/2022,BA Sul,264.0,266.0
27/05/2022,BA Oeste,264.0,266.0
27/05/2022,MT Norte,257.0,259.0
27/05/2022,MT Sudoeste,254.0,256.0
27/05/2022,MT Cuiabá*,264.0,266.0
27/05/2022,MT Sudeste,258.0,260.0
27/05/2022,PR Noroeste,262.0,264.0
27/05/2022,SC,279.0,280.5
27/05/2022,MA Oeste,256.0,258.0
27/05/2022,Alagoas,283.5,285.5
27/05/2022,PA Marabá,256.0,258.0
27/05/2022,PA Redenção,256.0,258.0
27/05/2022,PA Paragominas,276.0,278.0
27/05/2022,RO Sudeste,246.5,248.0
27/05/2022,TO Sul,253.0,255.0
27/05/2022,TO Norte,255.0,257.0
27/05/2022,Acre,244.5,246.5
27/05/2022,ES,262.0,264.0
27/05/2022,RJ,268.0,270.0
30/05/2022,SP Barretos,266.0,268.0
