data,região,à vista,30 dias
26/05/2022,MS Dourados,283.5,285.5
26/05/2022,MS C. Grande,279.0,280.5
26/05/2022,MS Três Lagoas,283.5,285.5
26/05/2022,RS Oeste**,10.95,11.05
26/05/2022,RS Pelotas**,10.85,10.95
26/05/2022,BA Sul,271.0,273.0
26/05/2022,BA Oeste,276.0,278.0
26/05/2022,MT Norte,271.0,273.0
26/05/2022,MT Sudoeste,276.0,278.0
26/05/2022,MT Cuiabá*,277.0,279.0
26/05/2022,MT Sudeste,272.0,274.0
26/05/2022,PR Noroeste,295.5,297.5
26/05/2022,SC,308.5,310.5
26/05/2022,MA Oeste,270.0,272.0
26/05/2022,Alagoas,293.5,295.5
26/05/2022,PA Marabá,269.0,271.0
26/05/2022,PA Redenção,268.0,270.0
26/05/2022,PA Paragominas,283.5,285.5
26/05/2022,RO Sudeste,259.0,261.0
26/05/2022,TO Sul,267.0,269.0
26/05/2022,TO Norte,274.0,276.0
26/05/2022,Acre,259.0,261.0
26/05/2022,ES,274.0,276.0
26/05/2022,RJ,280.5,282.5
27/05/2022,SP Barretos,295.5,297.5
27/05/2022,SP Araçatuba,295.5,297.5
27/05/2022,MG Triângulo,274.0,276.0
27/05/2022,MG B.Horizonte,266.0,268.0
27/05/2022,MG Norte,266.0,268.0
27/05/2022,MG Sul,276.0,278.0
27/05/2022,GO Goiânia,266.0,268.0
27/05/2022,GO Reg. Sul,269.0,271.0
27/05/2022,MS Dourados,278.0,279.5
27/05/2022,MS C. Grande,276.0,278.0
27/05/2022,MS Três Lagoas,281.5,283.5
27/05/2022,RS Oeste**,10.85,10.95
27/05/2022,RS Pelotas**,10.85,10.95
27/05/2022,BA Sul,266.0,268.0
27/05/2022,BA Oeste,272.0,274.0
27/05/2022,MT Norte,269.0,271.0
27/05/2022,MT Sudoeste,274.0,276.0
27/05/2022,MT Cuiabá*,274.0,276.0
27/05/2022,MT Sudeste,271.0,273.0
27/05/2022,PR Noroeste,293.5,295.5
27/05/2022,SC,308.5,310.5
27/05/2022,MA Oeste,268.0,270.0
27/05/2022,Alagoas,293.5,295.5
27/05/2022,PA Marabá,268.0,270.0
27/05/2022,PA Redenção,264.0,266.0
27/05/2022,PA Paragominas,281.5,283.5
27/05/2022,RO Sudeste,258.0,260.0
27/05/2022,TO Sul,266.0,268.0
27/05/2022,TO Norte,269.0,271.0
27/05/2022,Acre,259.0,261.0
27/05/2022,ES,271.0,273.0
27/05/2022,RJ,280.5,282.5
30/05/2022,SP Barretos,295.5,297.5
30/05/2022,SP Araçatuba,295.5,297.5
